familia;indice_fam;subposicion_1;subposicion_2;subposicion_3;subposicion_4;energia
174;4;3;5;2;1;5.5970508
175;1;2;1;4;5;7.9974705
175;2;1;2;5;4;7.9974705
175;3;5;4;1;2;7.9974705
175;4;4;5;2;1;7.9974705
176;1;2;2;0;3;4.3162311
176;2;2;2;3;0;4.3162311
176;3;3;0;2;2;4.3162311
176;4;0;3;2;2;4.3162311
177;1;2;2;0;4;4.1156551
177;2;2;2;4;0;4.1156551
177;3;4;0;2;2;4.1156551
177;4;0;4;2;2;4.1156551
178;1;2;2;0;5;-0.4390159
178;2;2;2;5;0;-0.4390159
178;3;5;0;2;2;-0.4390159
178;4;0;5;2;2;-0.4390159
179;1;2;2;1;3;4.8613623
179;2;2;2;3;1;4.8613623
179;3;3;1;2;2;4.8613623
179;4;1;3;2;2;4.8613623
180;1;2;2;1;4;5.2913015
180;2;2;2;4;1;5.2913015
180;3;4;1;2;2;5.2913015
180;4;1;4;2;2;5.2913015
181;1;2;2;1;5;5.7383074
181;2;2;2;5;1;5.7383074
181;3;5;1;2;2;5.7383074
181;4;1;5;2;2;5.7383074
182;1;2;2;2;3;1.9093764
182;2;2;2;3;2;1.9093764
182;3;3;2;2;2;1.9093764
182;4;2;3;2;2;1.9093764
183;1;2;2;2;4;2.4271342
183;2;2;2;4;2;2.4271342
183;3;4;2;2;2;2.4271342
183;4;2;4;2;2;2.4271342
184;1;2;2;2;5;4.7530508
184;2;2;2;5;2;4.7530508
184;3;5;2;2;2;4.7530508
184;4;2;5;2;2;4.7530508
185;1;2;2;3;4;6.2537974
185;2;2;2;4;3;6.2537974
185;3;4;3;2;2;6.2537974
185;4;3;4;2;2;6.2537974
186;1;2;2;3;5;4.5346557
186;2;2;2;5;3;4.5346557
186;3;5;3;2;2;4.5346557
186;4;3;5;2;2;4.5346557
187;1;2;2;4;5;4.6340517
187;2;2;2;5;4;4.6340517
187;3;5;4;2;2;4.6340517
187;4;4;5;2;2;4.6340517
188;1;2;3;0;4;2.1704528
188;2;3;2;4;0;2.1704528
188;3;4;0;3;2;2.1704528
188;4;0;4;2;3;2.1704528
189;1;2;3;0;5;-1.3310448
189;2;3;2;5;0;-1.3310448
189;3;5;0;3;2;-1.3310448
189;4;0;5;2;3;-1.3310448
190;1;2;3;1;4;5.369722
190;2;3;2;4;1;5.369722
190;3;4;1;3;2;5.369722
190;4;1;4;2;3;5.369722
191;1;2;3;1;5;6.6810257
191;2;3;2;5;1;6.6810257
191;3;5;1;3;2;6.6810257
191;4;1;5;2;3;6.6810257
192;1;2;3;2;4;4.2141619
192;2;3;2;4;2;4.2141619
